"_id","type","fabric","supplies","steps","notes","disclaimer","source","source_url"
"44","Blush (makeup)","Upholstery","Detergent;Dry cleaning solvent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"45","Broccoli","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"46","Butter","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"47","Cake frosting","Washable fabrics","Heavy-duty liquid detergent;Dilute solution of all-fabric powdered bleach;Liquid chlorine bleach;Commercial color remover","Pretreat the stain with heavy-duty liquid detergent. Rinse.;Soak fabric in dilute solution of all-fabric powdered bleach.;If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching.;If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"48","Calamine lotion","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"49","Calamine lotion","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"50","Candle wax","Washable fabrics","Ice cube;Iron;Bleach","Rub with ice and scrape off excess with a dull knife.;Place folded paper towels over and under stained area and press with a warm – not hot – dry iron.;Use clean towels, repeat until no more wax melts.;Remove color with bleach or color remover as safe for fabric.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"51","Candle wax","Carpet","Ice cube;Iron;Dry cleaning solvent;Carpet Shampoo;Rubbing Alcohol","Put an ice cube in a plastic bag and place over the foreign material to harden it.;Scrape off surface wax with dull knife.;Cover stained area with several layers of paper towels and press lightly with a warm (not hot) iron until all foreign material is removed. Be careful not to melt fibers with iron.;Shampoo, let dry, and then vacuum. ;Some colors, red, may leave a dye stain that is difficult or impossible to remove.;Try applying dry cleaning solvent. Blot using clean towels as long as color is removed. (Test to products in inconspicuous area.);Shampoo to remove dry cleaning solvent. ;Spread brown paper (such as grocery bag) or a terry cloth towel over the area and iron with the setting on “Warm."" The wax will be absorbed into the paper or towel.;Remove any traces with alcohol or dry cleaning solvent.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"52","Candle wax","Upholstery","Dry cleaning solvent;Ice cube","If the wax is still soft, freeze it by applying an ice cube wrapped in a small plastic bag, and then scrape off the excess wax.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"53","Candy","Carpet","Dull knife;Wet vacuum (for spilled liquid);Detergent;3% Hydrogen peroxide","Blot up as much of the stain as is possible by blotting with a white paper towel or scraping with a dull knife. A wet vacuum is useful if a large quantity of liquid was spilled.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"54","Car wax","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"55","Carrot","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"56","Castor oil","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
